Company Name,Website,Type,City ,State,Country,Phone
Abingdon Gas & Appliance Company,www.abingdongas.com,Gas & Oil,Abingdon,Virginia,United States,1-276-628-7262
Abraxas Petroleum,http://www.abraxaspetroleum.com/,Gas & Oil,San Antonio,Texas,United States,1-210-490-4788
Ace Tools ,http://www.acetools.com/,Gas & Oil,Burbank,California,United States,1-818-252-1981
Activa Resources LLC,activaresources.com,Gas & Oil,San Antonio,Texas,United States,1-210-271-9875
Adkins Company,tetoncapital.com,Gas & Oil,Arlington,Texas,United States,1-817-461-4690
Adobe Oil & Gas Inc,adobeog.com,Gas & Oil,Arlington,Texas,United States,1-817-461-4967
Advanced Gas Technologies,www.advgas.com,Gas & Oil,Palm,Pennsylvania,United States,1-215-541-4116
Akins Petroleum Company,www.akinsllc.com,Gas & Oil,Valdosta,Georgia ,United States,1-229-247-1839
Alaska Apollo Resources Inc,www.ngas.com,Gas & Oil,Lexington,Kentucky,United States,1-859-263-3948
Alexander Oil Company,alexanderoil.com,Gas & Oil,Seguin,Texas,United States,1-830-379-1736
Alexis Oil Company,www.alexisoil.com,Gas & Oil,Corona,California,United States,1-951-279-9830
All State Propane,www.allstatepropane.com,Gas & Oil,Sun City,California,United States,1-951-244-2484
Alliance Express,allianceexpress.com,Gas & Oil,Chelsea,Massachusetts,United States,1-508-872-1300
American Energy Group Limited,aegg.net,Gas & Oil,Westport,Connecticut,United States,1-203-222-7315
American Refining Group Inc,www.amref.com,Gas & Oil,Bradford,Pennsylvania,United States,1-814-368-1200
American Shoreline Inc,amshore.com,Gas & Oil,Corpus Christi,Texas,United States,1-361-888-4496
"American Shoreline, Inc.  ",http://www.amshore.com/,Gas & Oil,Corpus Christi,Texas,United States,1-361-888-4496
Amsoil ,http://www.amsoil.com/,Gas & Oil,Superior,Wisconsin,United States,1-800-956-5695
Anadarko Petroleum Corporation,http://www.anadarko.com/,Gas & Oil,Woodlands,Texas,United States,1-832-636-1000
Andeavor,http://www.andeavor.com/,Gas & Oil,San Antonio,Texas,United States,
Anderes Oil Inc,www.anderesoil.com,Gas & Oil,Ketchikan,Alaska,United States,1-907-225-5866
Anderson Discount Oils Inc,www.olsonenergy.com,Gas & Oil,Seattle,Washington,United States,1-206-542-2572
Anton Cooperative Association,antoncoop.com,Gas & Oil,Anton,Colorado,United States,1-970-383-2411
Apache Corporation  ,http://www.apachecorp.com/,Gas & Oil,Houston,Texas,United States,1-713-296-6000
"Apache Energy, LLC.",http://www.apachecorp.com/,Gas & Oil,Houston,Texas,United States,1-713-296-6000
Ape Inc,apefuels.com,Gas & Oil,Tucson,Arizona,United States,1-520-887-6061
Apex Oil CO Inc,ww.apexoil.com,Gas & Oil,Greensboro,North Carolina,United States,1-336-854-8556
Apex Oil Company,www.apexoil.com,Gas & Oil,Rensselaer,New York,United States,1-518-465-1557
Approved Oil CO of Brooklyn,www.approvedoil.com,Gas & Oil,Brooklyn,New York,United States,1-718-444-3400
Aquila Drilling Company,aquiladrilling.com,Gas & Oil,Wichita Falls,Texas,United States,1-940-761-3153
Aresco LP,www.arescotx.com/,Gas & Oil,Prosper,Texas,United States,1-972-992-3127
Arete Industries Inc,areteindustries.com,Gas & Oil,Westminster,Colorado,United States,1-303-652-3113
Arizona Petroleum Company,www.colopetro.com,Gas & Oil,Tucson,Arizona,United States,1-520-623-4721
Arkansas Oklahoma Gas Corporation,aogc.com,Gas & Oil,Fort Smith,Arkansas ,United States,1-479-784-2052
Armada Oil & Gas,www.armadaoil.com,Gas & Oil,Dearborn,Michigan,United States,1-313-582-1777
Aruba Petroleum Incorporated -,http://www.arubapetroleum.com/,Gas & Oil,Plano,Texas,United States,1-972-312-9366
Aspect Energy LLC,aspectenergy.com,Gas & Oil,Denver,Colorado,United States,1-303-573-7011
Associated General Contractors,agclv.org,Gas & Oil,Las Vegas,Las Vegas,United States,1-702-796-9986
Atoka Geochemical Service Corporation,atoka.com,Gas & Oil,Englewood,Colorado,United States,1-303-617-8919
Austin Utilities,www.austinutilities.com,Gas & Oil,Austin,Minnesota,United States,1-507-433-8886
Autore Oil & Propane Company,www.autoreoil.com,Gas & Oil,Cedarville,Michigan,United States,1-906-484-2233
Aztec Oil Company,www.buckeyecorp.com,Gas & Oil,El Dorado,Kansas,United States,1-316-321-6690
B & M Oil DIV,www.bmoiltulsa.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-445-0725
B D Oil Gathering Inc,bdoil.com,Gas & Oil,Marietta,Ohio,United States,1-740-374-9355
B P Amoco Marketer's Association,bpama.com,Gas & Oil,Savannah,Georgia ,United States,1-912-598-7939
Badger Lubrication Technologies,www.badgerlubrication.com,Gas & Oil,Milwaukee,Wisconsin,United States,1-414-643-0834
Bangor Gas Co LLC,www.bangorgas.com,Gas & Oil,Bangor,Maine,United States,1-207-941-9595
Barnwell Industries Inc,brninc.com,Gas & Oil,Honolulu,Hawaii,United States,1-808-531-8400
"Barnwell Industries, Inc.  ",http://www.brninc.com/,Gas & Oil,Honolulu,Hawaii,United States,1-808-531-8400
Barrett Resources Corporation,http://www.billbarrettcorp.com/,Gas & Oil,Denver,Colorado,United States,1-303-293-9100
Bay City Gas Company,www.baycitygas.com,Gas & Oil,Bay City,Texas,United States,1-979-245-2327
Bay Geophysical Associates Inc,www.baygeo.com,Gas & Oil,Traverse City,Michigan,United States,1-231-941-7660
Baytex Energy Ltd.,http://www.baytexenergy.com/,Gas & Oil,Calgary,Alberta,Canada,1-587-952-3000
Bear Oil Company,www.bearoil.com,Gas & Oil,San Antonio,Texas,United States,1-210-494-3479
Beaudry Oil Company,www.beaudryoil.com,Gas & Oil,Elk River,Minnesota,United States,1-763-441-2383
Beaver Petroleum Company,www.beaverpetroleum.com,Gas & Oil,Canton,Ohio,United States,1-330-454-2242
Belcourt Oil Company,www.belcourt.k12.nd.us,Gas & Oil,Belcourt,North Dakota,United States,1-701-477-6155
Bell Petroleum Limited,www.bellpetroleum.com,Gas & Oil,Smithtown,New York,United States,1-631-265-6677
Bennett Oil Company,bennettoil.com,Gas & Oil,Prescott,Arizona,United States,1-928-445-1181
Berry Energy,www.berryenergy.com,Gas & Oil,Clarksburg,West Virginia,United States,1-304-622-3450
Berry Petroleum Company ,http://berrypetroleum.com/,Gas & Oil,Bakersfield,California,United States,1-661-616-3900
Bexar Energy,bexarenergy.com,Gas & Oil,San Antonio,Texas,United States,1-210-342-7106
BHP Petroleum Company  ,`http://www.bhpbilliton.com/,Gas & Oil,Houston,Texas,United States,1-713-961-8500
Bigelow Oil & Energy,bigelowenergy.com,Gas & Oil,Newton,Massachusetts,United States,1-614-964-1600
Bill Terpening Fuel,medfordfuel.com,Gas & Oil,Medford,Oregon,United States,1-541-476-1961
Bio-Blend Fuel Inc,bioblendfuels.com,Gas & Oil,Manitowoc,Wisconsin,United States,1-920-686-1997
Biostim Inc,www.orrco.biz,Gas & Oil,Portland,Oregon,United States,1-503-286-2713
Bishop Energy Service,www.bishopenergy.com,Gas & Oil,Midland,Michigan,United States,1-989-631-1536
Bi-State Oil Company,bistateoilcompany.com,Gas & Oil,Cape Girardeau,Missouri,United States,1-573-335-7186
Black Hills Corporation,www.blackhillscorp.com,Gas & Oil,Rapid City,South Dakota,United States,1-605-721-1700
Black Hills Exploration and Production,https://www.blackhillscorp.com/,Gas & Oil,Rapid City,South Dakota,United States,1-888-890-5554
Black Star Oil Company,http://www.a1oilrecyclingllc.com/,Gas & Oil,Los Angeles,California,United States,1-310-281-8035
Blaylock Oil Company - Dispatch,www.blaylockoil.com,Gas & Oil,Homestead,Florida ,United States,1-305-247-7249
Blight Oil & Propane Inc,blightpropane.com,Gas & Oil,Bancroft,Michigan,United States,1-989-634-9156
Blossman Oil Co,www.blossmanoil.com,Gas & Oil,Covington,Louisiana,United States,1-985-898-2663
Blue Diamond Fuel Oil Corporation,www.bluediamondfuel.com,Gas & Oil,Brooklyn,New York,United States,1-718-965-0900
Blue Dolphin Energy  ,http://www.blue-dolphin-energy.com/,Gas & Oil,Houston,Texas,United States,1-713-568-4725
Blue Flame Gas Company,midstateenergy.com,Gas & Oil,Lake Wales,Florida ,United States,1-863-676-2917
Blue Flame Gas Company,www.blueflamegascompany.com,Gas & Oil,Thomaston,Georgia ,United States,1-706-647-1590
BMH Oil,www.bmhoil.com,Gas & Oil,Wichita Falls,Texas,United States,1-800-637-1278
Boaz - Gas Board,www.boaz.net,Gas & Oil,Boaz,Alabama ,United States,1-256-593-6812
Boone Exploration Inc,booneexploration.com,Gas & Oil,Huntsville,Texas,United States,1-936-295-4066
Boregyde Inc,boregyde.com,Gas & Oil,Simi Valley,California,United States,1-805-583-5300
Boyett Petroleum,boyett.net,Gas & Oil,Modesto,California,United States,1-209-577-6000
BP Oil Company,coffmanoil.com,Gas & Oil,Morristown,Tennessee ,United States,1-423-586-0681
BP Oil Company,mcwherterspetroleum.com,Gas & Oil,Delaware,Ohio,United States,1-740-548-7632
Brabham Oil CO Inc,www.brabhamoil.com,Gas & Oil,Bamberg,South Carolina,United States,1-803-245-2471
Brad Company,bradcoinc.com,Gas & Oil,Holbrook,Arizona,United States,1-928-524-6531
Brandon Petroleum Properties,www.brandonpetro.com,Gas & Oil,Laurel,Mississippi ,United States,1-601-649-2261
Bratco Operating Company,www.bratco-operating.com,Gas & Oil,Dewey,Oklahoma,United States,1-918-534-2322
Brenner Oil,www.brenneroil.com,Gas & Oil,Holland,Michigan,United States,1-616-399-9742
BRG Energy Inc,brgcorp.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-496-2626
Bridger Pipeline LLC,www.truecos.com,Gas & Oil,Casper,Wyoming,United States,1-307-237-9301
Bridgetown Energy Corporation ,,Gas & Oil,Calgary,Alberta,Canada,1-403-263-4860
Bridgman Oil Company,www.bridgmanoil.com,Gas & Oil,Hutchinson,Kansas,United States,1-620-665-6811
Brigham Exploration Company ,http://www.brighamresources.net/,Gas & Oil,Austin,Texas,United States,1-512-220-1200
Briner Oil Company,www.brineroil.com,Gas & Oil,Jonesville,Michigan,United States,1-517-849-2144
Brown's Oil Service,brownsoilservice.com,Gas & Oil,Indianapolis,Indiana ,United States,1-317-547-5231
BTA Oil Producers,www.btaoil.com,Gas & Oil,Midland,Texas,United States,1-432-682-3753
Buckeye Oil Equipment Company,www.buckeyeoil.com,Gas & Oil,Dayton,Ohio,United States,1-937-274-8010
Burnett Oil Company,burnettoil.com,Gas & Oil,Fort Worth,Texas,United States,1-817-332-5108
