Company Name,Website,City,State,Country,Phone,Services
027D Product Development LLC,http://027dproductdevelopment.com/,Lino Lakes,Minnesota,United States,612-819-4663,Product  & Software Creation
1stProto Design,http://1stproto.com/,Palm Harbor,Florida,United States,727-224-5298,New Product Design & Development Reverse Engineering
3 Sons Mfg,,Hayden,Idaho,United States,208-762-7350,"CNC Production Machining, Prototype machining, Electronics research and development"
5 Thread Factory,http://www.5threadfactory.com/,Los Angeles,California,United States,,Apparel & Clothing Manufacturing
AB Biosciences Inc,,Allston,Massachusetts,United States,617-208-8549,CONTROL ANTIBODIES: PROTEINS: Hexa-Ligands biotech research and development company
"ABS Pharma Projects, LLC",,Carmel,Indiana,United States,317-660-1360,Customized product development solutions biotechnology services life science consulting services
"Adiron Solutions, Inc.",http://www.adironsolutions.com/,Portland,Oregon,United States,,"Product development, mechanical engineering"
Advanced Brush Systems,,Palm Springs,California,United States,760-322-1235,"Cosmetics, Packaged Goods"
"Allen and Associates, Inc.",http://www.alleng.com/,Tulsa,Oklahoma,United States,918-321-5200,Product development services
"Allocent, Inc.",http://www.allocent.com/,Bothell,Washington,United States,425-877-8201,"Application Development, Business Process Outsourcing, Product  Development"
Alloy Design ,http://alloydesign.us/index.html,Erie,Colorado,United States,202-926-7422,"Industrial Design, Product design and development"
American Engineering Group LLC,http://www.engineering-group.com/,Akron,Ohio,United States,330-645-9385,"Rapid Prototyping, Failure Analysis, Engineering Component"
"Anidea Engineering, Inc.",http://www.anidea-engineering.com/,West Palm Beach,Florida,United States,561-383-7311,Everything from large commercial projects to personalized engineering solutions for inventors
Apparel Sample Concierge,http://www.apparelsampleconcierge.com/,Los Angeles,California,United States,,Apparel & Clothing Manufacturing; Startup Fashion Consultation
Aryan Graphics Designs,,Hayden,Idaho,United States,,Apparel & Clothing Manufacturing
Associated Design & Manufacturing Company,http://associateddesign.com/,Lorton,Virginia,United States,571-642-0222,Rapid turnaround product development services
Atlanta Sewing & Pattern Making Service,http://www.asapsewingservice.com/,Atlanta,Georgia,United States,404-892-5030,Pattern Making
Atom Innovation + Product Develvopment,http://www.atom-inc.co/,Cambridge,Massachusetts,United States,781-691-4598,"Full service product development and innovation firm Design, rapid prototyping services"
Auto Launch Inc,http://www.auto-launch.com/,Big Lake,Minnesota,United States,763-263-8495,"Product Development, Concept, Design, Engineering, Build, & Prototyping"
B & E Pattern CO Inc,,Menomonee Falls,Wisconsin,United States,262-703-0450,"CNC machining Design, pattern making services (textiles)"
BCP USA,,Clinton,New York,United States,704-953-5073,"Medical, Garden, Toys, Product Development"
"Beman Design Concepts, Ltd",,Sleepy Hollow,Illinois,United States,847-844-7016,Custom Product Development focusing on Christmas and Inspirational Products 
Beta Food Consulting,,Los Angeles,California,United States,,Contract Food & Beverage Product Development
Beta Food Consulting,,Los Angeles,California,United States,,Contract Food & Beverage Product Development
"Brandon Apparel Group, Inc",,Long Beach,California,United States,562-218-2414,Apparel & Clothing Manufacturing and Pattern Making
Brue Estelle,http://www.brueestelle.com/,Baton Rouge,Louisiana,United States,225-303-8172,Apparel & Clothing Manufacturing
"California New Work, LLC",http://www.cnwinla.com/,Los Angeles,California,United States,323-321-4472,"Fashion product development house, Design Development, Pattern & Sample making"
Carlson Design,,Minneapolis,Minnesota,United States,952-583-8151,Product Design from concept to production 
Cisco USA,http://ciscousa.com/,Torrance,California,United States,424-262-0799,"Injection Molding, Sourcing, Toys, Product Development"
CJL Products Inc.,http://cjlproducts.com/CJL_Products_Inc.html,Hamden,Connecticut,United States,212-439-9235,"Hand Tool, Lighting Acccessories, Product Development"
"Coaction Consulting, LLC",http://www.coactionconsulting.com/,Highland,Utah,United States,801-410-0234,Engineering design and product development consulting services involving mechanical and electrical
"Coho Design, LLC",http://cohodesignsllc.com/,Palm Coast,Florida,United States,386-931-4060,Product Development & Rapid Prototyping
Colorcon,http://www.colorcon.com/,Harleysville,Pennsylvania,United States,215-256-7700,"Pharmaceutical Product Development, Formulated Coatings"
Compass Product Design Inc,http://compassdesign.com/,Pleasanton,California,United States,925-485-1075,"Product Development Strategy, Industrial Design and Engineering"
Concepto Studios,https://www.conceptostudios.com/,Aventura,Florida,United States,561-302-1092,"Rapid Prototyping, Market Analysis, Industrial Design, Mould, Product Development"
Creative Edge Product Design Services,http://www.ce-services.com/,Bedford,Virginia,United States,434-661-7258,"Product Design & Development, low volume assembly, prototyping"
Creative Engineering,http://www.creativeengineering.com/,Bronxville,New York,United States,914-771-5540,"Medical device design & development, Mechanical Product Design; Packaging"
"Crown Laboratories, Inc.",http://crownlaboratories.com/,Johnson City,Tennessee,United States,423-926-0165,"Sunscreen, Skin & Hair Care, Oral Care, Otc Drugs Cosmeceuticals And Rx"
CSR Pharma Services,http://www.csrpharmsvcs.com/,Iselin,New Jersey,United States,908-864-8072,"R&D Services, Commercialization, Comparator Products, Product Development"
Custom Sewing and Tailoring,,Bolivar,Missouri,United States,417-326-7590,"Sewing, design services, Teach Design, Sewing, Pattern Making embellishments beadwork, design sketches, fabrications procurement"
D4C Product Development Inc,http://www.d4cpd.com/,San Diego,California,United States,858-518-4605,"D4C Product Development, Proto & Tooling Development"
